ts,name,cpu_perc,mem_mib
1788048358,deploy-consumer-2,0.76,22.22
1788048358,deploy-consumer-3,1.69,20.98
1788048358,deploy-consumer-1,1.56,22.71
1788048365,deploy-consumer-2,1.06,21.56
1788048365,deploy-consumer-3,1.53,20.93
1788048365,deploy-consumer-1,1.41,23.53
1788048372,deploy-consumer-2,2.25,22.45
1788048372,deploy-consumer-3,1.80,20.71
1788048372,deploy-consumer-1,2.19,23.88
1788048379,deploy-consumer-2,1.95,22.95
1788048379,deploy-consumer-3,0.49,20.91
1788048379,deploy-consumer-1,1.90,22.53
1788048386,deploy-consumer-2,1.78,23.16
1788048386,deploy-consumer-3,1.60,20.29
1788048386,deploy-consumer-1,1.41,22.55
1788048393,deploy-consumer-2,2.24,21.57
1788048393,deploy-consumer-3,2.20,21.07
1788048393,deploy-consumer-1,1.09,22.49
1788048400,deploy-consumer-2,1.78,21.82
1788048400,deploy-consumer-3,0.81,21.66
1788048400,deploy-consumer-1,2.60,22.59
1788048407,deploy-consumer-2,2.56,21.88
1788048407,deploy-consumer-3,2.27,21.57
1788048407,deploy-consumer-1,1.69,23.41
1788048414,deploy-consumer-2,1.57,22.48
1788048414,deploy-consumer-3,2.35,21.11
1788048414,deploy-consumer-1,2.18,23.72
1788048421,deploy-consumer-2,2.66,23.02
1788048421,deploy-consumer-3,2.44,21.39
1788048421,deploy-consumer-1,1.80,22.73
1788048428,deploy-consumer-2,0.82,23.45
1788048428,deploy-consumer-3,2.56,21.29
1788048428,deploy-consumer-1,3.13,22.55
1788048436,deploy-consumer-2,1.05,23.04
1788048436,deploy-consumer-3,1.76,20.36
1788048436,deploy-consumer-1,1.32,23.81
1788048442,deploy-consumer-2,1.32,23.86
1788048442,deploy-consumer-3,1.47,21.59
1788048442,deploy-consumer-1,1.92,23.71
1788048449,deploy-consumer-2,1.64,23.34
1788048449,deploy-consumer-3,1.61,22.34
1788048449,deploy-consumer-1,1.14,23.52
